"ID of predecessor","ID of successor"
5269,5271
5271,5273
5273,5275
5274,5276
5275,5277
5277,5279
5279,5281
5280,5282
5281,5283
5282,5284
5283,5285
5284,5286
5285,5287
5286,5288
5288,5290
5290,5292
5291,5293
5292,5294
5293,5295
5294,5296
5296,5298
5298,5300
5299,5301
5300,5302
5301,5303
5302,5304
5304,5306
5306,5308
5306,5342
5307,5317
5310,5322
5311,5312
5311,5342
5312,5313
5313,5314
5314,5315
5315,5316
5315,5323
5316,5318
5317,5310
5318,5323
5319,5326
5321,5324
5322,5320
5323,5325
5324,5335
5325,5327
5326,5330
5327,5329
5329,5331
5329,5348
5331,5333
5332,5321
5333,5348
5335,5336
5336,5337
5337,5338
5338,5339
5339,5340
5340,5341
5341,5343
5342,5344
5343,5345
5344,5348
5345,5346
5347,5351
5348,5349
5349,5350
5350,5347
5351,5352
5352,5354
5353,5355
5354,5353
5355,5356
5356,5357
5357,5358
5358,5359
5358,5365
5359,5360
5360,5362
5361,5363
5362,5365
5363,5364
5364,5224
5365,5366
5366,5367
5367,5368
5367,5385
5368,5369
5369,5370
5370,5371
5370,5385
5371,5372
5372,5373
5373,5374
5374,5375
5375,5376
5376,5377
5376,5379
5377,5378
5378,5385
5381,5382
5382,5383
5383,5384
5384,5385
5385,5386
5386,5387
5387,5388
5388,5389
5389,5390
5390,5391
5391,5392
5392,5393
5393,5394
5394,5395
5395,5396
5396,5225
5396,5397
5397,5398
5398,5399
5399,5400
5400,5401
5401,5402
5401,5406
5402,5403
5405,5225
5406,5407
5407,5408
5408,5409
5409,5410
5410,5411
5411,5412
5414,5225
5415,5416
5416,5417
5417,5418
5418,5419
5419,5420
5420,5421
5421,5422
5422,5423
5423,5424
5424,5425
5425,5361
5428,5431
5429,5645
5430,5432
5430,5440
5431,5433
5432,5434
5433,5435
5435,5437
5437,5439
5438,5440
5439,5441
5441,5443
5443,5445
5444,5446
5445,5447
5446,5448
5447,5449
5448,5450
5449,5451
5451,5453
5453,5455
5453,5473
5454,5456
5455,5457
5456,5458
5457,5459
5458,5460
5459,5461
5460,5462
5461,5463
5462,5464
5463,5465
5465,5467
5467,5469
5468,5470
5469,5471
5470,5472
5471,5483
5472,5474
5473,5475
5475,5477
5477,5479
5478,5480
5479,5481
5481,5483
5483,5485
5484,5486
5485,5487
5486,5488
5487,5489
5488,5490
5489,5491
5490,5492
5492,5494
5494,5496
5495,5497
5496,5498
5497,5499
5498,5500
5500,5502
5502,5504
5503,5505
5504,5506
5505,5507
5506,5508
5508,5510
5510,5512
5510,5557
5511,5521
5514,5530
5515,5516
5515,5557
5516,5517
5517,5518
5518,5519
5519,5520
5519,5531
5520,5522
5521,5514
5522,5523
5524,5534
5527,5529
5528,5532
5529,5531
5530,5526
5531,5533
5532,5544
5533,5535
5534,5538
5535,5537
5537,5539
5537,5567
5539,5541
5540,5528
5541,5543
5541,5567
5543,5545
5544,5546
5546,5548
5548,5550
5549,5551
5550,5552
5551,5553
5552,5554
5553,5555
5554,5556
5555,5567
5556,5558
5557,5559
5558,5560
5559,5561
5560,5562
5564,5565
5565,5567
5566,5570
5567,5568
5568,5569
5569,5566
5570,5571
5571,5572
5571,5575
5572,5573
5572,5575
5573,5575
5574,5576
5575,5574
5576,5577
5577,5578
5578,5579
5579,5580
5579,5595
5580,5581
5581,5582
5582,5583
5582,5595
5583,5584
5588,5589
5593,5594
5594,5595
5595,5596
5596,5597
5597,5598
5597,5615
5598,5599
5599,5600
5600,5601
5600,5615
5601,5602
5602,5603
5603,5604
5604,5605
5605,5606
5606,5607
5606,5609
5607,5608
5608,5615
5611,5612
5612,5613
5613,5614
5614,5615
5615,5616
5616,5617
5617,5618
5618,5619
5619,5620
5620,5621
5621,5622
5622,5623
5623,5624
5624,5625
5625,5626
5626,5429
5626,5627
5627,5628
5628,5629
5629,5630
5630,5631
5631,5632
5631,5636
5632,5633
5635,5429
5636,5637
5637,5638
5638,5639
5639,5640
5640,5641
5641,5642
5644,5429
5645,5646
5646,5647
5647,5648
5648,5649
5649,5650
5650,5651
5651,5652
5652,5653
5653,5654
5654,5655
5655,5656
5656,5657
5657,5658
5658,5428
5708,5710
5709,5708
5710,5711
5711,5712
5712,5713
5713,5714
5714,5715
5715,5716
5716,5717
5717,5718
5718,5719
5721,5722
5722,5723
