"ID of id","kind","ID of col2","idx"
4646,6,4645,0
4647,18,4646,2
4652,18,4651,0
4655,28,4645,1
4657,18,4655,3
4661,26,4660,1
4662,18,4661,2
4664,25,4661,3
4667,18,4666,0
4670,2,4669,1
4673,6,4672,0
4674,18,4673,2
4679,18,4678,0
4681,28,4672,1
4683,18,4681,3
4687,4,4686,1
4688,0,4687,2
4689,18,4688,2
4694,1,4693,0
4695,25,4694,2
4697,18,4694,4
4699,18,4693,1
4704,28,4703,1
4706,18,4704,3
4710,26,4709,1
4711,18,4710,2
4713,25,4710,3
4716,18,4715,0
4719,18,4718,1
4722,0,4721,0
4723,18,4722,2
4727,4,4726,1
4728,18,4727,2
4732,2,4731,0
4735,18,4734,0
4737,18,4734,1
4739,18,4734,2
4742,0,4741,0
4743,18,4742,2
4747,2,4746,1
4750,0,4749,0
4751,18,4750,2
4754,6,4749,1
4755,18,4754,2
4760,18,4759,0
4764,26,4763,1
4765,4,4764,2
4766,0,4765,2
4767,26,4766,2
4768,4,4767,2
4769,0,4768,2
4770,18,4769,2
4774,25,4773,0
4775,19,4767,3
4779,25,4778,0
4780,19,4764,3
4783,18,4782,0
4786,2,4785,1
4789,0,4788,0
4790,18,4789,2
4793,6,4788,1
4794,18,4793,2
4799,18,4798,0
4803,4,4802,1
4804,0,4803,2
4805,18,4804,2
4810,18,4809,0
4812,18,4809,1
4814,18,4809,2
4818,18,4817,1
4821,18,4820,0
4825,4,4824,1
4826,18,4825,2
4830,1,4829,0
4831,25,4830,2
4833,18,4830,4
4836,18,4835,0
4839,4,4838,1
4840,18,4839,2
4845,18,4844,1
4848,18,4847,1
4851,18,4850,1
4854,18,4853,0
4858,6,4857,1
4859,18,4858,2
4864,18,4863,0
4868,4,4867,1
4869,0,4868,2
4870,0,4869,2
4871,18,4870,2
4876,18,4875,0
4880,18,4879,1
4883,26,4882,0
4884,18,4883,2
4886,25,4883,3
4890,4,4889,1
4891,0,4890,2
4892,18,4891,2
4896,18,4895,0
4899,18,4898,0
4902,18,4901,1
4905,26,4904,0
4906,18,4905,2
4908,25,4905,3
4911,4,4910,1
4912,18,4911,2
4917,18,4916,1
4920,0,4919,0
4921,18,4920,2
4925,4,4924,1
4926,0,4925,2
4927,0,4926,2
4928,18,4927,2
4933,0,4932,0
4934,18,4933,2
4938,0,4937,0
4939,18,4938,2
4943,4,4942,1
4944,0,4943,2
4945,0,4944,2
4946,18,4945,2
4951,0,4950,0
4952,18,4951,2
4955,4,4950,1
4956,0,4955,2
4957,18,4956,2
4961,0,4960,0
4962,0,4961,2
4963,18,4962,2
4968,0,4967,1
4969,18,4968,2
4974,4,4973,1
4975,0,4974,2
4976,18,4975,2
4980,0,4979,0
4981,18,4980,2
4984,18,4979,1
4986,18,4979,2
4990,18,4989,1
4994,4,4993,1
4995,0,4994,2
4996,0,4995,2
4997,18,4996,2
5002,18,5001,0
5005,0,5004,1
5006,18,5005,2
5010,0,5009,0
5011,0,5010,2
5012,18,5011,2
5017,7,5016,1
5020,0,5019,1
5021,18,5020,2
5024,25,5019,2
5026,0,5025,1
5027,18,5026,2
5030,25,5025,2
5032,15,5031,1
5038,18,5037,0
5043,4,5042,1
5044,0,5043,2
5045,18,5044,2
5048,25,5031,2
5050,0,5049,0
5051,18,5050,2
5055,7,5054,1
5058,0,5057,1
5059,18,5058,2
5062,25,5057,2
5064,0,5063,1
5065,18,5064,2
5068,25,5063,2
5070,0,5069,0
5071,18,5070,2
5075,4,5074,1
5076,0,5075,2
5077,18,5076,2
5081,18,5080,0
5083,18,5080,1
5085,18,5080,2
5088,18,5087,0
